Format,Number,Typeless format,SRGB format,Linear format,Type,SRGB,Channel 0,Channel 1,Channel 2, Channel 3,Channel 0 bits,Channel 1 bits,Channel 2 bits,Channel 3 bits,Element type,DisplayType,Channel 0 type,Channel 1 type,Channel 2 type,Channel 3 type
DXGI_FORMAT_BC1_TYPELESS,70,DXGI_FORMAT_BC1_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,C4,N,N,N,64,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC1_UNORM,71,DXGI_FORMAT_BC1_TYPELESS,DXGI_FORMAT_BC1_UNORM_SRGB,DXGI_FORMAT_BC1_UNORM,UNorm,FALSE,C4,N,N,N,64,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC1_UNORM_SRGB,72,DXGI_FORMAT_BC1_TYPELESS,DXGI_FORMAT_BC1_UNORM_SRGB,DXGI_FORMAT_BC1_UNORM,UNorm,TRUE,C4,N,N,N,64,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC2_TYPELESS,73,DXGI_FORMAT_BC2_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,C4,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC2_UNORM,74,DXGI_FORMAT_BC2_TYPELESS,DXGI_FORMAT_BC2_UNORM_SRGB,DXGI_FORMAT_BC2_UNORM,UNorm,FALSE,C4,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC2_UNORM_SRGB,75,DXGI_FORMAT_BC2_TYPELESS,DXGI_FORMAT_BC2_UNORM_SRGB,DXGI_FORMAT_BC2_UNORM,UNorm,TRUE,C4,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC3_TYPELESS,76,DXGI_FORMAT_BC3_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,C4,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC3_UNORM,77,DXGI_FORMAT_BC3_TYPELESS,DXGI_FORMAT_BC3_UNORM_SRGB,DXGI_FORMAT_BC3_UNORM,UNorm,FALSE,C4,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC3_UNORM_SRGB,78,DXGI_FORMAT_BC3_TYPELESS,DXGI_FORMAT_BC3_UNORM_SRGB,DXGI_FORMAT_BC3_UNORM,UNorm,TRUE,C4,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC4_TYPELESS,79,DXGI_FORMAT_BC4_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,C1,N,N,N,64,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC4_UNORM,80,DXGI_FORMAT_BC4_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_BC4_UNORM,UNorm,FALSE,C1,N,N,N,64,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC4_SNORM,81,DXGI_FORMAT_BC4_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_BC4_SNORM,SNorm,FALSE,C1,N,N,N,64,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC5_TYPELESS,82,DXGI_FORMAT_BC5_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,C2,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC5_UNORM,83,DXGI_FORMAT_BC5_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_BC5_UNORM,UNorm,FALSE,C2,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_BC5_SNORM,84,DXGI_FORMAT_BC5_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_BC5_SNORM,SNorm,FALSE,C2,N,N,N,128,0,0,0,Block,Hardware,Void,Void,Void,Void
DXGI_FORMAT_B5G6R5_UNORM,85,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_B5G6R5_UNORM,UNorm,FALSE,B,G,R,N,5,6,5,0,Pixel,Transcode,Void,Void,Void,Void
